"Scenario";"TotalCost";"TotalCostPerVeh";"CostPerVehKM";"CostPerSeatKM";"CostPerPassKM";"PricePerPassKM";"overhead";"salaries";"deprecation";"maintenance";"cleaning";"tires";"fuel";"other_var";"interest";"insurance";"tax";"parking";"other_fix";"acquisition"
"A-S13-Taxi";375672.703971907;250.448469314605;0.250975266398776;0.062743816599694;0.220361095210509;0.246434810928239;0.0211167842212235;0;0;0.0365841321026791;0.00461362667160348;0.0109752396308037;0.0556078807960722;0;0.00240202493086089;0.000892200683669374;0.000602235461476828;0.00780564073125244;8.92200683669374e-05;0.079672109912501
"A-S14-RS";419234.211926625;419.234211926625;0.420116035485108;0.0525145044356385;0.217689973174094;0.243447634569448;0.0124621493369264;0;0;0.0431805252967646;0.00461896173337007;0.00647707879451469;0.0533279487415043;0;0.00267312071175705;0.000631842692064107;0.000995152240000969;0.00460652812682988;5.26535576720089e-05;0.08866401194269
"A-S15";249449.337237483;498.898674474965;0.499948065464375;0.0249974032732187;0.259056241054236;0.289708470195224;0.0124621493369264;0;0;0.0467789024048283;0.00461896173337007;0.00647707879451469;0.0820429980638528;0;0.0028351280276211;0.000737149807408125;0.00156381066285867;0.00460652812682988;0.00289594567196049;0.0940375884240651
"A-S16";NA;1105.7748345;3.213;0.05355;0.238884758364312;0.26480449346568;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A-S17";NA;1017.1811025;3.015;0.05025;0.398809523809524;0.442081590574374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A-S18";NA;18277.4918906;29.9242;0.100754882154882;0.443854106409172;0.492013649699227;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A-S19";NA;16605.3575188;29.9242;0.100754882154882;0.318844563781273;0.353440185068748;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"E-S01";14.8275895386005;14.8275895386005;0.338263061933587;0.338263061933587;0.338263061933587;0.378287254526384;0;0;0.026;0.0395;0.00749505875890328;0.02;0.03;0;0.0175858284086093;0.0202991174720297;0;0.093688234486291;0.00249835291963443;0.0811964698881189
"E-S02";28.875192454866;28.875192454866;0.658732222677003;0.164683055669251;0.462534592013737;0.517262925298981;0;0;0.0491511122825963;0.0832058115069666;0.00526272106605017;0.0140431749378847;0.0280863498757693;0;0.0332447317959243;0.0285064057744384;0;0.0657840133256271;0.00175424035535006;0.15349603109313
"E-S03";48.5646572211117;48.5646572211117;1.10790965791186;0.138488707238982;0.777928457071409;0.869975038247797;0;0;0.0926849545900387;0.166411623013933;0.00526272106605017;0.0140431749378847;0.0456403185481251;0;0.0626900656723143;0.0342076869293261;0;0.0657840133256271;0.00175424035535006;0.289449658632759
